game_id,teams,over_line,under_line,over_odds,under_odds,source
824410,Minnesota Twins @ Cleveland Guardians,8.5,8.5,1.85,1.85,Manual Input
823522,Pittsburgh Pirates @ New York Yankees,9.0,9.0,1.9,1.8,Manual Input
822788,Tampa Bay Rays @ Toronto Blue Jays,8.0,8.0,1.82,1.88,Manual Input
824736,Baltimore Orioles @ Boston Red Sox,7.5,7.5,1.75,1.95,Manual Input
823436,Los Angeles Dodgers @ Philadelphia Phillies,9.5,9.5,1.92,1.78,Manual Input
824898,San Diego Padres @ Atlanta Braves,8.5,8.5,1.88,1.82,Manual Input
824087,San Francisco Giants @ Kansas City Royals,9.0,9.0,1.85,1.85,Manual Input
823762,New York Mets @ Milwaukee Brewers,8.5,8.5,1.8,1.9,Manual Input
824654,Detroit Tigers @ Chicago Cubs,8.5,8.5,1.85,1.85,Manual Input
822874,Chicago White Sox @ Texas Rangers,9.0,9.0,1.85,1.85,Manual Input
824167,Miami Marlins @ Houston Astros,8.5,8.5,1.85,1.85,Manual Input
824328,Washington Nationals @ Colorado Rockies,9.5,9.5,1.85,1.85,Manual Input
825058,Athletics @ Arizona Diamondbacks,8.5,8.5,1.85,1.85,Manual Input
823112,Cincinnati Reds @ Seattle Mariners,9.0,9.0,1.85,1.85,Manual Input
824006,St. Louis Cardinals @ Los Angeles Angels,8.5,8.5,1.85,1.85,Manual Input
